특성별,교통수단별,항목,단위,2017 년,2018 년,2019 년
3회,시티투어버스,제주여행 교통수단,%,0.1,1.1,0.3
3회,"자전거, 오토바이",제주여행 교통수단,%,1.2,0.6,1
3회,친구 및 지인차량,제주여행 교통수단,%,,2.3,1.4
3회,기타,제주여행 교통수단,%,6.1,3.5,2.8
4회 이상,응답자수,제주여행 교통수단,명,1606,951,894
4회 이상,렌터카,제주여행 교통수단,%,62.8,64.6,73.6
4회 이상,대절택시(가이드동반차량),제주여행 교통수단,%,0.5,,
4회 이상,버스,제주여행 교통수단,%,12.8,6.9,5.8
4회 이상,택시,제주여행 교통수단,%,9,7.4,5.3
4회 이상,전세버스(여행사제공),제주여행 교통수단,%,3.1,3.6,4.5
4회 이상,시티투어버스,제주여행 교통수단,%,0.2,0.4,0.3
4회 이상,"자전거, 오토바이",제주여행 교통수단,%,0.7,0.4,0.8
4회 이상,친구 및 지인차량,제주여행 교통수단,%,,9,6.9
4회 이상,기타,제주여행 교통수단,%,10.9,7.8,2.9
